Tidsmerke,E-postadresse,Navn og etternavn,Kommentar,1. nov - fredag,4. nov - mandag,5. nov - tirsdag,6. nov - onsdag,7. nov - torsdag,Morgenvakt 6. nov,Morgenvakt 13. nov,Morgenvakt 20. nov,9. nov - lørdag,10. nov - søndag,11. nov - mandag,12. nov - tirsdag,13. nov - onsdag,14. nov - torsdag,15. nov - fredag,16. nov - lørdag,17. nov - søndag
22.10.2024 kl. 13:26.44,skyler.brown17@mockemail.com,Skyler Brown,Kan jobbe alle dager,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,16:50-20:30,Ja,Ja,Ja,16:50-20:30,Kan ikke jobbe denne dagen :(,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00
22.10.2024 kl. 17:27.38,jamie.white18@mockemail.com,Jamie White,,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,16:50-20:30,Ja,Ja,Nei,12:30-17:00,12:30-17:00,20:20-00:30,16:50-20:30,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30
22.10.2024 kl. 16:13.13,skyler.brown19@mockemail.com,Skyler Brown,Mandag er bra,Kan ikke jobbe denne dagen :(,12:30-17:00,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,Ja,Ja,Ja,20:20-00:30,20:20-00:30,16:50-20:30,16:50-20:30,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30
22.10.2024 kl. 11:59.01,jamie.jackson20@mockemail.com,Jamie Jackson,Mandag er bra,12:30-17:00,20:20-00:30,16:50-20:30,16:50-20:30,16:50-20:30,Nei,Nei,Ja,20:20-00:30,12:30-17:00,16:50-20:30,12:30-17:00,16:50-20:30,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 16:01.18,skyler.taylor21@mockemail.com,Skyler Taylor,Ingen preferanse,16:50-20:30,20:20-00:30,20:20-00:30,16:50-20:30,20:20-00:30,Ja,Nei,Ja,12:30-17:00,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00
22.10.2024 kl. 21:30.06,skyler.harris22@mockemail.com,Skyler Harris,Mandag er bra,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30,Ja,Nei,Nei,16:50-20:30,16:50-20:30,16:50-20:30,20:20-00:30,20:20-00:30,16:50-20:30,12:30-17:00,20:20-00:30,12:30-17:00
22.10.2024 kl. 15:54.23,drew.taylor23@mockemail.com,Drew Taylor,Kan jobbe alle dager,20:20-00:30,12:30-17:00,20:20-00:30,20:20-00:30,20:20-00:30,Nei,Ja,Nei,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,16:50-20:30,20:20-00:30,20:20-00:30,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 11:46.09,casey.taylor24@mockemail.com,Casey Taylor,,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,16:50-20:30,Ja,Nei,Ja,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,16:50-20:30,12:30-17:00,20:20-00:30,12:30-17:00
22.10.2024 kl. 13:59.49,taylor.brown25@mockemail.com,Taylor Brown,Ingen preferanse,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30,16:50-20:30,Ja,Ja,Nei,12:30-17:00,20:20-00:30,12:30-17:00,12:30-17:00,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30
22.10.2024 kl. 10:12.58,morgan.white26@mockemail.com,Morgan White,Mandag er bra,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,Ja,Ja,Ja,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,20:20-00:30,20:20-00:30,20:20-00:30,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 16:16.04,jordan.harris27@mockemail.com,Jordan Harris,Mandag er bra,20:20-00:30,20:20-00:30,16:50-20:30,12:30-17:00,16:50-20:30,Nei,Nei,Ja,16:50-20:30,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 8:27.28,morgan.jackson28@mockemail.com,Morgan Jackson,,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,12:30-17:00,20:20-00:30,Ja,Nei,Nei,Kan ikke jobbe denne dagen :(,16:50-20:30,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,20:20-00:30,20:20-00:30,16:50-20:30,16:50-20:30
22.10.2024 kl. 11:45.44,jordan.taylor29@mockemail.com,Jordan Taylor,Ingen preferanse,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,Kan ikke jobbe denne dagen :(,Ja,Nei,Ja,16:50-20:30,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,20:20-00:30
22.10.2024 kl. 20:06.16,riley.thomas30@mockemail.com,Riley Thomas,Kan jobbe alle dager,12:30-17:00,20:20-00:30,20:20-00:30,20:20-00:30,12:30-17:00,Nei,Nei,Nei,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 20:12.58,taylor.jackson31@mockemail.com,Taylor Jackson,Mandag er bra,20:20-00:30,12:30-17:00,12:30-17:00,16:50-20:30,12:30-17:00,Ja,Ja,Nei,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,20:20-00:30,12:30-17:00,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 19:12.53,jamie.jackson32@mockemail.com,Jamie Jackson,Ingen preferanse,16:50-20:30,16:50-20:30,20:20-00:30,20:20-00:30,12:30-17:00,Nei,Ja,Ja,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00
22.10.2024 kl. 10:48.15,alex.jackson33@mockemail.com,Alex Jackson,Kan jobbe alle dager,20:20-00:30,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,Ja,Nei,Nei,12:30-17:00,16:50-20:30,20:20-00:30,16:50-20:30,16:50-20:30,20:20-00:30,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 16:19.28,jordan.smith34@mockemail.com,Jordan Smith,,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,Ja,Nei,Ja,12:30-17:00,20:20-00:30,12:30-17:00,16:50-20:30,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 18:43.00,casey.harris35@mockemail.com,Casey Harris,Ingen preferanse,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,12:30-17:00,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30
22.10.2024 kl. 20:22.39,jamie.anderson36@mockemail.com,Jamie Anderson,Ingen preferanse,20:20-00:30,16:50-20:30,12:30-17:00,12:30-17:00,20:20-00:30,Nei,Nei,Nei,20:20-00:30,16:50-20:30,16:50-20:30,16:50-20:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 12:41.19,drew.white37@mockemail.com,Drew White,Ingen preferanse,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,Ja,Nei,Ja,20:20-00:30,12:30-17:00,12:30-17:00,20:20-00:30,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30
22.10.2024 kl. 16:47.50,jamie.thomas38@mockemail.com,Jamie Thomas,Kan jobbe alle dager,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,Ja,Ja,Ja,12:30-17:00,12:30-17:00,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 17:20.04,morgan.jackson39@mockemail.com,Morgan Jackson,Ingen preferanse,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,12:30-17:00,Ja,Ja,Ja,20:20-00:30,20:20-00:30,20:20-00:30,12:30-17:00,12:30-17:00,12:30-17:00,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 10:38.23,alex.anderson40@mockemail.com,Alex Anderson,Ingen preferanse,20:20-00:30,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,Ja,Ja,Ja,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,16:50-20:30,12:30-17:00,20:20-00:30,20:20-00:30
22.10.2024 kl. 13:47.53,morgan.white41@mockemail.com,Morgan White,Ingen preferanse,12:30-17:00,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,Ja,Ja,Nei,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,12:30-17:00,16:50-20:30,16:50-20:30
22.10.2024 kl. 11:28.29,riley.thomas42@mockemail.com,Riley Thomas,Ingen preferanse,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,Nei,Nei,Nei,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 8:42.19,cameron.martin43@mockemail.com,Cameron Martin,Kan jobbe alle dager,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,Ja,Nei,Nei,16:50-20:30,12:30-17:00,20:20-00:30,12:30-17:00,12:30-17:00,12:30-17:00,12:30-17:00,20:20-00:30,16:50-20:30
22.10.2024 kl. 12:11.12,drew.white44@mockemail.com,Drew White,Mandag er bra,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,12:30-17:00,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,20:20-00:30,20:20-00:30,12:30-17:00,12:30-17:00,12:30-17:00,20:20-00:30
22.10.2024 kl. 22:54.50,riley.brown45@mockemail.com,Riley Brown,,20:20-00:30,12:30-17:00,16:50-20:30,12:30-17:00,20:20-00:30,Ja,Ja,Nei,16:50-20:30,20:20-00:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,12:30-17:00,12:30-17:00
22.10.2024 kl. 12:55.36,alex.martin46@mockemail.com,Alex Martin,Kan jobbe alle dager,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,12:30-17:00,Ja,Nei,Ja,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,20:20-00:30,12:30-17:00
22.10.2024 kl. 23:38.47,casey.taylor47@mockemail.com,Casey Taylor,Ingen preferanse,12:30-17:00,12:30-17:00,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,12:30-17:00,20:20-00:30,16:50-20:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,12:30-17:00
22.10.2024 kl. 11:59.17,cameron.brown48@mockemail.com,Cameron Brown,Ingen preferanse,12:30-17:00,12:30-17:00,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,Ja,Ja,Nei,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,16:50-20:30,12:30-17:00,20:20-00:30,16:50-20:30
22.10.2024 kl. 14:22.20,jordan.brown49@mockemail.com,Jordan Brown,Ingen preferanse,12:30-17:00,20:20-00:30,16:50-20:30,20:20-00:30,12:30-17:00,Nei,Nei,Nei,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,12:30-17:00,20:20-00:30,20:20-00:30,20:20-00:30
22.10.2024 kl. 17:01.34,riley.smith50@mockemail.com,Riley Smith,Ingen preferanse,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30,Ja,Ja,Nei,16:50-20:30,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 9:35.34,skyler.brown51@mockemail.com,Skyler Brown,Kan jobbe alle dager,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,12:30-17:00,Ja,Ja,Ja,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30,12:30-17:00,16:50-20:30,12:30-17:00,12:30-17:00
22.10.2024 kl. 16:23.14,morgan.johnson52@mockemail.com,Morgan Johnson,Ingen preferanse,16:50-20:30,12:30-17:00,20:20-00:30,12:30-17:00,20:20-00:30,Ja,Ja,Ja,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,16:50-20:30,16:50-20:30,20:20-00:30
22.10.2024 kl. 19:12.11,morgan.martin53@mockemail.com,Morgan Martin,,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,16:50-20:30,20:20-00:30,Ja,Ja,Ja,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,12:30-17:00,16:50-20:30
22.10.2024 kl. 15:53.55,cameron.white54@mockemail.com,Cameron White,Ingen preferanse,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,Nei,Nei,Nei,Kan ikke jobbe denne dagen :(,12:30-17:00,12:30-17:00,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30
22.10.2024 kl. 19:41.46,riley.brown55@mockemail.com,Riley Brown,Mandag er bra,12:30-17:00,Kan ikke jobbe denne dagen :(,20:20-00:30,12:30-17:00,12:30-17:00,Nei,Ja,Nei,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,12:30-17:00,12:30-17:00
22.10.2024 kl. 12:37.19,morgan.white56@mockemail.com,Morgan White,Ingen preferanse,16:50-20:30,16:50-20:30,20:20-00:30,12:30-17:00,20:20-00:30,Nei,Nei,Ja,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 12:58.15,skyler.jackson57@mockemail.com,Skyler Jackson,Kan jobbe alle dager,16:50-20:30,20:20-00:30,12:30-17:00,16:50-20:30,20:20-00:30,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 11:38.55,casey.jackson58@mockemail.com,Casey Jackson,Ingen preferanse,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,Nei,Ja,Ja,12:30-17:00,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,12:30-17:00,12:30-17:00
22.10.2024 kl. 21:29.57,alex.taylor59@mockemail.com,Alex Taylor,Kan jobbe alle dager,16:50-20:30,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(,16:50-20:30,Nei,Ja,Ja,16:50-20:30,12:30-17:00,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,12:30-17:00,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 13:17.25,drew.brown60@mockemail.com,Drew Brown,Kan jobbe alle dager,20:20-00:30,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Ja,Ja,Nei,12:30-17:00,16:50-20:30,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 19:09.40,jamie.smith61@mockemail.com,Jamie Smith,Kan jobbe alle dager,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,Ja,Nei,Nei,Kan ikke jobbe denne dagen :(,12:30-17:00,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 11:15.11,cameron.anderson62@mockemail.com,Cameron Anderson,,16:50-20:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,16:50-20:30,Ja,Nei,Ja,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,12:30-17:00,12:30-17:00,16:50-20:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 21:34.12,alex.taylor63@mockemail.com,Alex Taylor,,20:20-00:30,16:50-20:30,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,Nei,Nei,Nei,16:50-20:30,12:30-17:00,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30
22.10.2024 kl. 12:48.51,casey.jackson64@mockemail.com,Casey Jackson,Kan jobbe alle dager,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,Nei,Nei,Nei,20:20-00:30,16:50-20:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,12:30-17:00,16:50-20:30
22.10.2024 kl. 8:39.04,morgan.harris65@mockemail.com,Morgan Harris,Mandag er bra,16:50-20:30,16:50-20:30,12:30-17:00,12:30-17:00,16:50-20:30,Ja,Nei,Nei,16:50-20:30,16:50-20:30,12:30-17:00,16:50-20:30,20:20-00:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00
22.10.2024 kl. 18:53.20,morgan.thomas66@mockemail.com,Morgan Thomas,Ingen preferanse,16:50-20:30,12:30-17:00,16:50-20:30,12:30-17:00,16:50-20:30,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,12:30-17:00,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30,12:30-17:00
